iter	Passed	Remaining
0	0	78
1	0	68
2	0	65
3	0	62
4	1	59
5	1	58
6	1	57
7	1	56
8	1	55
9	1	54
10	2	53
11	2	53
12	2	52
13	2	52
14	2	51
15	2	50
16	3	50
17	3	49
18	3	49
19	3	49
20	3	49
21	3	48
22	4	48
23	4	47
24	4	47
25	4	47
26	4	47
27	4	46
28	5	46
29	5	46
30	5	46
31	5	45
32	5	45
33	5	45
34	5	45
35	6	45
36	6	44
37	6	44
38	6	44
39	6	44
40	6	44
41	7	43
42	7	43
43	7	43
44	7	43
45	7	43
46	8	43
47	8	43
48	8	43
49	8	42
50	8	42
51	8	42
52	9	42
53	9	42
54	9	42
55	9	41
56	9	41
57	9	41
58	10	41
59	10	40
60	10	40
61	10	40
62	10	40
63	10	40
64	11	40
65	11	40
66	11	39
67	11	39
68	11	39
69	11	39
70	12	39
71	12	39
72	12	38
73	12	38
74	12	38
75	12	38
76	13	37
77	13	37
78	13	37
79	13	37
80	13	37
81	13	37
82	14	36
83	14	36
84	14	36
85	14	36
86	14	36
87	14	35
88	15	35
89	15	35
90	15	35
91	15	35
92	15	34
93	15	34
94	15	34
95	16	34
96	16	34
97	16	33
98	16	33
99	16	33
100	16	33
101	17	33
102	17	33
103	17	32
104	17	32
105	17	32
106	17	32
107	18	32
108	18	31
109	18	31
110	18	31
111	18	31
112	18	31
113	19	31
114	19	30
115	19	30
116	19	30
117	19	30
118	19	30
119	20	30
120	20	29
121	20	29
122	20	29
123	20	29
124	20	29
125	21	29
126	21	28
127	21	28
128	21	28
129	21	28
130	21	28
131	22	28
132	22	27
133	22	27
134	22	27
135	22	27
136	22	27
137	23	27
138	23	26
139	23	26
140	23	26
141	23	26
142	23	26
143	24	26
144	24	25
145	24	25
146	24	25
147	24	25
148	24	25
149	25	25
150	25	24
151	25	24
152	25	24
153	25	24
154	25	24
155	25	23
156	26	23
157	26	23
158	26	23
159	26	23
160	26	23
161	26	22
162	27	22
163	27	22
164	27	22
165	27	22
166	27	22
167	27	21
168	27	21
169	28	21
170	28	21
171	28	21
172	28	21
173	28	20
174	28	20
175	29	20
176	29	20
177	29	20
178	29	20
179	29	19
180	29	19
181	30	19
182	30	19
183	30	19
184	30	18
185	30	18
186	30	18
187	30	18
188	31	18
189	31	18
190	31	17
191	31	17
192	31	17
193	31	17
194	32	17
195	32	17
196	32	16
197	32	16
198	32	16
199	32	16
200	32	16
201	33	16
202	33	15
203	33	15
204	33	15
205	33	15
206	33	15
207	34	15
208	34	14
209	34	14
210	34	14
211	34	14
212	34	14
213	34	14
214	35	13
215	35	13
216	35	13
217	35	13
218	35	13
219	35	13
220	36	12
221	36	12
222	36	12
223	36	12
224	36	12
225	36	12
226	37	11
227	37	11
228	37	11
229	37	11
230	37	11
231	37	11
232	37	10
233	38	10
234	38	10
235	38	10
236	38	10
237	38	10
238	38	9
239	39	9
240	39	9
241	39	9
242	39	9
243	39	9
244	39	8
245	40	8
246	40	8
247	40	8
248	40	8
249	40	8
250	40	7
251	40	7
252	41	7
253	41	7
254	41	7
255	41	7
256	41	6
257	41	6
258	42	6
259	42	6
260	42	6
261	42	6
262	42	6
263	42	5
264	43	5
265	43	5
266	43	5
267	43	5
268	43	5
269	43	4
270	43	4
271	44	4
272	44	4
273	44	4
274	44	4
275	44	3
276	44	3
277	45	3
278	45	3
279	45	3
280	45	3
281	45	2
282	45	2
283	46	2
284	46	2
285	46	2
286	46	2
287	46	1
288	46	1
289	46	1
290	47	1
291	47	1
292	47	1
293	47	0
294	47	0
295	47	0
296	48	0
297	48	0
298	48	0
299	48	0
