iter	Passed	Remaining
0	54	54156
1	54	27271
2	55	18303
3	55	13815
4	55	11123
5	56	9326
6	56	8043
7	57	7081
8	57	6327
9	57	5731
10	58	5237
11	58	4829
12	59	4481
13	59	4185
14	59	3928
15	60	3701
16	60	3502
17	60	3324
18	61	3164
19	61	3022
20	62	2894
21	62	2776
22	62	2668
23	63	2571
24	63	2480
25	64	2400
26	64	2322
27	64	2251
28	65	2183
29	65	2121
30	66	2063
31	66	2009
32	66	1956
33	67	1909
34	67	1863
35	67	1819
36	68	1777
37	68	1739
38	69	1701
39	69	1666
40	69	1633
41	70	1602
42	70	1571
43	71	1543
44	71	1516
45	71	1489
46	72	1463
47	72	1438
48	72	1415
49	73	1393
50	73	1371
51	74	1350
52	74	1330
53	74	1310
54	75	1292
55	75	1274
56	75	1256
57	76	1240
58	76	1224
59	77	1208
60	77	1193
61	77	1178
62	78	1165
63	78	1151
64	79	1138
65	79	1126
66	80	1114
67	80	1102
68	80	1090
69	81	1078
70	81	1067
71	81	1056
72	82	1045
73	82	1034
74	83	1024
75	83	1015
76	83	1006
77	84	997
78	84	987
79	85	978
80	85	969
81	85	960
82	86	950
83	86	942
84	86	935
85	87	927
86	87	920
87	88	912
88	88	905
89	88	897
90	89	890
91	89	883
92	89	876
93	90	870
94	90	864
95	91	858
96	91	851
97	91	845
98	92	839
99	92	834
100	93	829
101	93	823
102	93	817
103	94	812
104	94	807
105	95	801
106	95	796
107	95	791
108	96	785
109	96	780
110	96	776
111	97	771
112	97	767
113	98	763
114	98	758
115	98	754
116	99	749
117	99	744
118	100	740
119	100	736
120	100	732
121	101	727
122	101	723
123	101	719
124	102	715
125	102	711
126	102	707
127	103	703
128	103	700
129	104	696
130	104	693
131	104	689
132	105	686
133	105	682
134	106	679
135	106	676
136	106	672
137	107	669
138	107	665
139	107	662
140	108	659
141	108	655
142	108	652
143	109	649
144	109	646
145	110	643
146	110	641
147	110	637
148	111	635
149	111	632
150	112	629
151	112	626
152	112	624
153	113	621
154	113	618
155	113	615
156	114	613
157	114	610
158	115	608
159	115	606
160	115	603
161	116	600
162	116	598
163	116	595
164	117	593
165	117	591
166	118	588
167	118	586
168	118	584
169	119	582
170	119	579
171	120	577
172	120	575
173	120	573
174	121	571
175	121	569
176	121	566
177	122	564
178	122	562
179	123	563
180	124	561
181	124	560
182	125	558
183	125	556
184	125	554
185	126	552
186	126	550
187	127	548
188	127	546
189	127	544
190	128	543
191	128	541
192	128	539
193	129	537
194	129	535
195	130	533
196	130	532
197	130	530
198	131	528
199	131	526
200	132	525
201	132	523
202	132	521
203	133	520
204	133	518
205	134	517
206	134	515
207	134	513
208	135	512
209	135	510
210	136	509
211	136	507
212	136	506
213	137	504
214	137	503
215	138	501
216	138	499
217	138	498
218	139	496
219	139	495
220	140	493
